pays,Services voyage (% exports de services),Accès électricité urbain (%),Accès électricité (% pop),Pop. exposée pollution PM2.5 (%),Densité de population (hab/km²),Pop. en zone inondable < 5m (%),Pop. dans grandes agglomérations (%),Inflation (%),Accès Internet (% pop),Croissance du PIB (%),PIB par habitant (USD),Taux d'alphabétisation (%),Accès eau potable (% pop),Eau potable sécurisée (% pop),Médecins (pour 1000 habitants),Mortalité pollution de l'air (pour 100k),Accès sanitaires de base (% pop),Accès lavage des mains (% pop),Mortalité accidents de la route (pour 100k),Dépenses santé par habitant (USD),Pauvreté < 3$/jour (% pop),Pauvreté seuil national (% pop),Revenu 40% les plus pauvres ($/jour),Revenu moyen par habitant ($/jour),Taux de chômage (%),Espérance de vie (années),Population rurale (% total),Population urbaine (% total),Arrivées touristes internationaux (nb),Départs touristes internationaux (nb),Recettes tourisme (USD),Recettes tourisme (% exportations),Recettes voyages touristiques (USD),Dépenses tourisme (USD)
BEN,54.4294604574234,70.3,57.0,100.0,125.142195814118,7.25427232711727,,2.73870078406075,32.2083,6.3527773854442,1394.17784721831,51.3800010681152,69.2752913846942,17.5419176478121,0.216,201.8,21.5460291941212,12.3945781760574,26.8,46.52822113,27.2,36.2,2.57,5.27,1.641,60.774,48.2542077035407,51.7457922964593,337000.0,,240860000.610352,6.71867329850778,240000000.0,130000000.0
BGD,7.11329314420839,99.5,99.5,100.0,1319.17979689183,8.38183750736477,16.6733410319969,9.8835030377921,44.5027,5.77511237007889,2551.01773827307,79.0,98.6816683567859,59.1428021110632,0.722,143.9,65.6304136319171,68.5323412634061,15.3,53.46432495,5.9,18.7,2.96,5.62,3.352,74.672,67.8421534963166,32.1578465036834,323000.0,1460000.0,217899993.896484,0.566327447584205,217000000.0,659000000.0
BGR,25.3402997892203,100.0,100.0,99.8946743201431,59.3827929255711,1.33967587036816,19.981304862287,9.44284140088564,80.3896,1.68151074972904,15853.208636704,98.3499984741211,99.2017331871692,96.2874915022323,4.328,62.9,86.0662621462475,,9.2,1257.87597656,1.0,21.7,17.01,39.41,4.319,75.7073170731707,26.2677328415387,73.7322671584613,4973000.0,3973000.0,1792000000.0,4.4878009199491,1636000000.0,1263000000.0
BHR,29.812994485735,100.0,100.0,100.0,1971.32375,32.9847026314836,,0.0746206782192256,100.0,3.87811614845566,29290.1284215098,97.8499984741211,99.9198990209829,98.9039755631804,0.741,68.1,100.0,100.0,5.2,1175.81628418,,,,,1.049,81.284,0.0,100.0,1909000.0,2950000.0,724000000.0,2.81927960396861,673000000.0,2637000000.0
BIH,52.5448680819546,100.0,100.0,99.9552350286901,62.20845703125,0.0137988235253632,,6.1059011284828,83.3772,1.99439414850893,8663.02326458629,96.9899978637695,96.0981021077665,86.4004716802823,2.584,113.9,95.3850620124746,97.2610536909518,13.5,772.88568115,0.2,16.9,,,10.668,77.85,48.4342760165695,51.5657239834305,197000.0,,438000000.0,6.23963753418713,426000000.0,163000000.0
BLR,4.14008720734514,100.0,100.0,99.9313519680704,45.217077292187,0.0,22.4143626628815,5.00059903091313,91.5125,4.12654007153881,7896.75388295584,99.870002746582,99.8755846398108,93.0457459109011,4.717,69.9,99.7199437262096,,7.6,558.22644043,0.0,3.9,12.75,20.55,3.461,74.1837804878049,21.1853579333673,78.8146420666327,3598000.0,2810000.0,542000000.0,1.45764753974913,355000000.0,477000000.0
BLZ,69.698066116941,99.8,99.6,100.0,18.0230600613766,33.8562563835843,,4.38984017487675,72.3595,0.500127941638667,7424.75821321022,87.879997253418,94.8298821080115,,1.086,41.0,84.2497280854857,90.2882901757885,22.6,309.40835571,1.0,52.0,,,8.278,73.566,58.0540562495024,41.9459437504976,487000.0,,,,247000000.0,22040000.9155273
BMU,33.1952620883885,100.0,100.0,100.0,1198.11111111111,7.22995540717487,,,98.37,4.91721557264164,132604.439086216,,100.0,,,,99.9416526015971,,,,,,,,,82.309,0.0,100.0,51400.0015258789,,94000000.0,9.14979233689066,94000000.0,212000000.0
BOL,62.0068783046609,99.9,99.8,99.9991320215104,11.3026483891812,0.0,42.1097357523698,2.57688800489192,70.2368,2.51636590154891,4274.70820547613,95.5500030517578,92.9647725892341,,1.284,77.1,70.4335419312464,27.0129661831564,21.1,255.04104614,2.8,36.5,8.71,22.93,3.024,68.581,29.0848585955462,70.9151414044538,323299.987792969,432000.0,243000000.0,3.2671447948785,191000000.0,325000000.0
BRA,15.2234600883619,99.9,99.8,68.1350300575805,25.2616884857157,2.23302391070075,43.8732652097644,4.59356282283204,84.1506,3.24165532813583,10377.5897719195,94.5839624750993,99.8980595100623,87.9528269411722,2.357,28.9,91.7128476214348,,16.0,1009.83563232,3.8,,7.32,25.53,7.947,75.848,12.3840289764237,87.6159710235763,6353000.0,10628000.0,3099000000.0,1.30098331145026,3044000000.0,6490000000.0
BRB,70.7057785921887,100.0,100.0,100.0,656.595348837209,2.20666381805887,,9.79207077126447,79.9923,2.914357359625,25583.878782727,,99.1626347450814,,2.958,18.8,98.0924623115578,88.4693506083686,8.2,1286.47680664,1.7,25.7,,,6.54,76.178,40.5764259764225,59.4235740235775,966000.0,,1071000000.0,44.4375926721103,1125000000.0,99000000.0
BTN,70.2254503703728,100.0,100.0,100.0,20.6183796539067,0.0,,4.22934419929251,88.426,4.63215704523927,3831.32535494609,64.9100036621094,99.4298614038042,66.6540724749632,0.553,94.3,85.2990010822165,93.55135066466,16.2,162.19680786,0.0,12.4,5.39,12.34,3.126,72.975,58.2647542010061,41.7352457989939,29799.9992370605,72000.0,84000000.0,10.6777751698148,84000000.0,50000000.0
BWA,69.4329815359525,97.7,76.0,100.0,4.37641204806522,0.0,,5.0676154934383,81.36,3.20806812224438,7826.35376483298,,91.7236550803662,63.9157689150589,0.379,140.7,71.9941392506475,,26.4,489.59677124,21.4,16.1,2.86,11.1,23.381,69.163,32.9787344650136,67.0212655349864,1830000.0,,217000000.0,4.56136335506177,211000000.0,91800003.0517578
CAN,29.408234935715,100.0,100.0,0.0,4.56079784268436,1.44116830882438,44.8021259828612,3.87900159788426,93.9564,1.52874550838358,54220.3285039875,,98.2905039744417,96.8908033429561,2.819,8.1,98.5881318805776,,5.3,6186.65234375,0.2,,40.8,77.73,5.415,81.6465853658537,17.4749435591654,82.5250564408346,32430000.0,37845898.4375,19994000000.0,3.65670128143171,11256000000.0,41247000000.0
CHE,12.5739726896263,100.0,100.0,49.3001362303515,224.978619136651,0.0,16.1049236895508,2.13540088016377,97.3444,0.683328174376044,100623.549627296,,100.0,96.7000003832463,4.477,10.4,99.8998744202541,,2.2,11783.66992188,0.2,15.8,43.17,87.39,4.043,84.0560975609756,14.8145787320185,85.1854212679815,11818000.0,19797000.0,9994000000.0,2.08023823985746,9038000000.0,10372000000.0
CHL,23.5570383518331,100.0,100.0,97.6630177077565,26.4647249005172,0.958467364431253,35.1159771166501,7.58168251407962,94.4574,0.521367977246825,17067.0364799154,96.4000015258789,98.9890250912798,97.7260945752252,3.334,17.9,100.0,,14.9,1736.52038574,0.5,6.5,12.93,32.77,9.013,81.167,11.1841382782028,88.8158617217972,5431000.0,4091000.0,1034000000.0,1.29934068286281,406000000.0,720000000.0
CHN,7.6164146075733,100.0,100.0,99.9982944622564,150.264001337848,4.87880231853816,31.2803562036138,0.234836828893051,90.6,5.41484330099675,12951.1782397043,96.7399978637695,96.0883413082236,,3.112,95.3,97.2411682339468,97.2370989072954,17.4,763.37762451,0.0,0.0,8.08,17.13,4.67,77.953,34.4698551964477,65.5301448035523,30402000.0,20334000.0,,,14233000000.0,
CMR,25.5520235155496,95.8,72.0,100.0,60.0213386642973,2.29087878478046,30.2138708258404,7.38281384280984,41.9088,3.34756290750219,1720.47510154506,72.5500030517578,70.7167101481695,,0.136,206.7,46.6226225275107,37.7098210766991,30.2,79.09996796,26.7,37.7,2.38,7.34,3.607,63.7,44.8713121488612,55.1286878511388,1021000.0,,437000000.0,7.13534067687559,437000000.0,697000000.0
COL,47.1915338367914,100.0,98.7,92.1046289822956,47.1574150518251,2.34105613545381,44.5183145050017,11.7359044948689,77.3369,0.712380031974334,7000.83660501046,95.4625553716428,96.9496589659827,74.1523775311481,2.535,31.3,95.7128008202529,70.291453880138,15.4,571.15496826,7.7,34.6,3.86,14.56,9.591,77.725,21.724428420456,78.275571579544,1396000.0,1275000.0,1959000000.0,5.1251016036868,1595000000.0,1576000000.0
COM,72.8999819954601,98.3,89.8,100.0,456.951638903815,3.21938427188237,,8.37373955490996,35.6678,2.99521564038136,1560.27378476855,75.8250571350015,85.1575256557465,,0.424,164.6,56.104836588019,33.1622529204348,26.6,102.23101807,31.4,44.8,,,3.833,66.777,66.8497819053099,33.1502180946901,7000.0,,18500000.0,26.8359915308608,18000000.0,43000000.0
CRI,32.2235243287816,100.0,100.0,99.6887933668832,99.9906972189581,2.00237495832442,28.6354292653547,0.525193508693455,85.3951,5.11192183224598,16942.0268119375,97.4100036621094,99.8143035929016,80.5037076075396,2.687,17.8,98.6179737414505,85.9756677781649,14.8,1163.30224609,1.5,24.4,8.93,27.98,8.325,80.799,21.1180606358298,78.8819393641702,1146500.0,324000.0,1479000000.0,7.40531362400925,1356000000.0,697000000.0
CUB,,100.0,100.0,99.9999999999811,106.165038535645,2.50495003993379,19.5003943309627,,71.275,-1.92937123169681,9605.27914559614,97.6500015258789,95.0236345510277,,9.542,41.9,94.1220801306732,93.3875533523869,8.9,1199.35327148,,,,,1.73,78.085,22.8740127703679,77.1259872296321,1086000.0,271000.0,1152000000.0,,1137000000.0,
CYP,12.6360999942045,100.0,100.0,100.0,145.560173160173,4.04474158997971,,3.54134188751663,91.2211,3.61945644636856,36623.69140625,98.6800003051758,99.7210789435355,99.7210789435355,3.556,15.8,99.4768823557025,,5.8,2899.36499023,0.0,13.9,33.66,63.38,5.835,81.648,33.3260522477361,66.6739477522639,4117000.0,1578000.0,663000000.0,3.25331109731518,663000000.0,880000000.0
DEU,8.36823692675105,100.0,100.0,89.1743564300489,238.351810090719,1.99002924234282,9.70327003022419,5.94643667725823,92.4764,-0.869647578573321,54776.7668235491,,99.9999970615884,99.9168282325382,4.534,14.7,99.2265552501835,,3.8,6394.62255859,0.2,14.8,40.63,79.63,3.071,80.5414634146342,18.0965633307871,81.9034366692129,12449000.0,99533000.0,58372000000.0,3.47314357519722,22049000000.0,101231000000.0
DMA,60.7102378203337,100.0,100.0,100.0,88.68,12.8568467497055,,5.08677483158112,83.8255,3.65221012208734,9912.96212766668,,96.8915616749148,,1.158,,80.3664248800941,,10.9,492.4524231,,,,,,71.132,26.8894988561973,73.1105011438027,140000.0,,111000000.0,75.0777803673294,32000000.0,9000000.0
DNK,8.6765903930184,100.0,100.0,56.9144561104444,148.6738,12.5703443745095,23.2220640085879,3.30517811237606,98.7756,0.604587766175584,68043.5466971243,,99.9999977179038,99.9188250709331,4.498,12.9,99.5972246130908,,3.7,6510.625,0.4,12.4,41.02,72.67,5.094,81.8536585365854,11.447361457133,88.552638542867,15595000.0,4230000.0,9097000000.0,4.49513143884502,3970000000.0,10485000000.0
DOM,75.9417761543913,100.0,99.6,99.9134426224712,235.098143035751,1.84398033192546,31.0988225939469,4.78561281021135,84.6161,2.19229848237939,10630.431743829,94.3123758236054,97.4107460357747,45.2614190293945,2.426,41.3,89.6102380882298,48.4316602909105,64.6,488.8727417,1.3,23.0,8.26,20.57,5.555,73.72,27.6422008176662,72.3577991823338,2748000.0,210000.0,7561000000.0,37.7075260451732,2674000000.0,444000000.0
ECU,45.8044168648744,100.0,98.7,98.3156239365569,72.3952448059269,7.21542013422517,28.3617211333229,2.21568764237058,72.6943,1.98823813984235,6737.84748379638,96.2600021362305,91.8598075666082,69.6689253276622,2.313,28.1,90.5556911375942,91.13980828226,20.1,509.49414063,4.7,26.0,6.18,18.18,3.51,77.392,36.8692270445737,63.1307729554263,2108000.0,1515000.0,705000000.0,3.11936322773205,702000000.0,533000000.0
ESP,47.3203152768402,100.0,100.0,41.115549425172,96.7636173412149,3.99842632128181,25.7250872177769,3.53236133492433,95.4456,2.46085796805582,33493.2225409111,99.6999969482422,99.9249297229504,99.4743158229589,4.294,10.1,99.9183686152338,,3.9,3106.62011719,0.8,20.2,26.21,54.85,12.179,83.8829268292683,19.871508998144,80.128491001856,36410000.0,6236000.0,,,18352000000.0,
EST,11.7622729022108,100.0,100.0,0.0,32.0684764802247,2.61109485088201,,9.15922507983982,93.1834,-2.74421914571231,30264.0064885057,99.8899993896484,100.0,98.7763375997776,3.469,12.8,99.0220443822146,,4.5,2258.4597168,0.3,22.5,23.22,43.8,6.378,78.490243902439,29.3229914476874,70.6770085523126,1695000.0,558000.0,865000000.0,3.9817677512326,588000000.0,676000000.0
FIN,11.0202620835004,100.0,100.0,0.0,18.3705454665088,4.55613658391432,23.9578675233183,6.25064322154763,93.5139,-0.939093459613758,52834.2916752703,,99.9999988667298,99.6443238009603,3.609,7.4,99.4479540389609,,3.9,5515.40478516,0.2,12.2,37.41,64.46,7.149,81.6853658536585,25.9937451397172,74.0062548602828,896000.0,2690000.0,1757000000.0,1.794806606539,1245000000.0,1940000000.0
FJI,51.6367579048817,100.0,99.3,82.8031823467088,50.5826491516147,18.2646769725551,,2.34408296633042,79.3485,9.44245856738313,5926.20586394763,,95.5237842457223,41.9884712083528,0.813,118.7,92.7542060099235,86.5816134900173,13.5,212.88697815,4.7,24.1,5.45,11.56,5.316,67.316,41.3930950261232,58.6069049738768,168000.0,174000.0,236000000.0,19.184084523671,151000000.0,77000000.0
FRA,19.0414647963516,100.0,100.0,78.2135639205549,126.862020595603,2.08138306935594,22.927852668258,4.87835726508441,86.8364,1.43921494437743,44700.1384177544,,100.0,99.7084324009763,3.281,10.0,98.6451856910254,,5.1,5149.0546875,0.1,15.6,34.41,66.8,7.335,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0
GAB,9.0702920197525,99.2,94.1,100.0,9.64329956921644,9.52729723911365,,3.62901534185376,71.9256,2.43893665064327,7802.82433276138,88.8600006103516,88.479261326667,,0.521,78.3,57.3016336632799,48.1209275492205,23.9,252.98246765,3.8,33.4,,,20.161,68.337,8.3624037202687,91.6375962797313,,,28700000.7629395,0.532471529483251,25000000.0,346000000.0
GBR,12.579203032312,100.0,100.0,66.5332490328298,283.106683751498,2.74511866286225,27.3476668808036,6.79396706793963,96.2988,0.271650048355255,49944.4702124201,,100.0,99.8319703795301,3.301,13.4,99.1037240160958,,3.2,5407.17041016,0.5,18.6,32.21,64.32,4.025,81.2380975609756,16.8398067108665,83.1601932891335,11101000.0,23827000.0,,,19098000000.0,
GEO,58.4174580217922,100.0,100.0,100.0,65.0037265124742,3.85225301774937,29.1279760935523,2.48776056578715,81.8843,7.83220126555726,8283.66960652261,99.5599975585938,97.1538358776458,70.2560405766378,5.642,92.8,90.04898468576,91.7573444423974,12.4,554.3248291,5.8,11.8,3.93,8.52,11.549,74.496,39.2476922200276,60.7523077799724,1513000.0,3780000.0,586000000.0,9.88456492872421,542000000.0,292000000.0
GHA,11.9662073422835,97.5,89.5,100.0,148.49676310689,2.1287841350265,19.0254746120166,38.1069656296501,69.9445,3.14009099763754,2383.90410483418,76.4899978637695,88.8910495956232,41.5409857140439,0.266,193.6,30.3048454596217,44.7857609368921,25.7,70.25730896,39.0,23.4,1.81,5.07,2.829,65.498,42.1925262225346,57.8074737774654,897000.0,,191000000.0,0.865150905271818,110000000.0,946000000.0
GNQ,,89.0,66.9,100.0,65.8662745098039,5.66273195374869,,2.85949506037322,60.3661,-5.08930872071532,6677.793435386,,64.6658128879178,,0.153,165.7,66.3127866671561,24.2210376531412,27.2,233.68379211,8.8,50.7,,,8.218,63.707,28.8709335116483,71.1290664883517,,,,,,
GRC,42.1049203770537,100.0,100.0,99.9999999998588,80.7397284716835,5.10819938614292,30.3099511105179,3.46480128513405,85.0102,2.13591131996631,23343.7103964562,,99.9999984078161,96.881822442758,6.576,23.0,99.0039477070011,,8.3,1962.59594727,0.6,18.8,16.92,34.24,11.023,81.5365853658537,21.2253696157912,78.7746303842088,7406000.0,2324000.0,6193000000.0,10.4927849016115,5015000000.0,1500000000.0
GRD,84.6249314874164,,94.4,100.0,344.355882352941,5.85477777203569,,2.69612269814564,74.1201,4.52657497450693,11414.4781691181,,95.6286504435547,89.9176799999318,1.383,47.4,92.6192396904393,,8.0,526.3918457,0.8,25.0,,,,75.205,63.537871761416,36.462128238584,217000.0,,548000000.0,88.2058975261611,195000000.0,12000000.0
GRL,,100.0,100.0,80.0160106688235,0.138543062492386,59.8627167311208,,,69.4825,0.865961986998158,58498.9707973609,,100.0,,,,62.5,,,,,,,,,71.549756097561,11.9368852250092,88.0631147749908,,,,,,
GTM,31.9859960860526,100.0,100.0,100.0,169.138092571855,0.206295001583779,17.0765609049857,6.20657592272126,56.0535,3.5331575177533,5758.32760847852,83.0440590538501,92.9701335518689,48.8769788491501,1.281,91.0,70.6041253212475,76.7664212338674,22.9,392.01223755,9.7,56.0,,,2.344,72.602,44.3917680434461,55.6082319565539,594000.0,507799.987792969,298500000.0,2.34799483211765,297000000.0,346000000.0
GUY,75.4045326484108,98.9,98.9,99.9881773200384,3.91376811594203,78.4831581251732,,2.82110335099641,81.7221,33.795011115873,20473.7002190617,85.6399993896484,95.644614726529,67.1556536157397,1.387,95.7,91.3046762515848,83.462512883397,22.3,505.03240967,,,,,11.917,70.18,73.5348542720122,26.4651457279878,86400.0015258789,,,,24000000.0,
HRV,65.2525041313911,100.0,100.0,99.7796052732656,68.9722301644031,4.31367326892496,,7.9412817758683,83.2412,3.76164540703459,22184.2279304842,,99.9028641950813,87.1852397070888,3.909,31.3,95.7936994032533,,7.9,1548.33959961,0.3,20.3,21.91,41.35,6.121,78.4731707317073,42.7568439327802,57.2431560672198,21608000.0,678000.0,5631853027.34375,23.4140153305096,5568853027.34375,789687194.824219
HUN,21.1342496743977,100.0,100.0,100.0,105.108327854482,0.0,18.5364629084549,17.1249659678737,91.4501,-0.817107370513455,22230.6277875187,,100.0,100.0,3.456,42.3,97.976195278385,,7.7,1419.87475586,0.9,12.1,13.1,24.82,4.096,76.7707317073171,29.7076973108569,70.2923026891431,31641000.0,12727000.0,4224000000.0,3.40349403569888,3229000000.0,1334000000.0
IDN,41.6609102127328,100.0,99.4,95.5671472610627,148.57692229227,8.81766119912081,14.0840565324806,3.66938654859761,69.2084,5.04902331835997,4876.30774512252,96.0,89.3578482222748,30.3958763265858,0.524,96.1,86.9363345400971,79.5647169754225,11.3,131.77729797,6.7,9.4,3.59,7.51,3.308,71.146,41.8820646602122,58.1179353397878,4053000.0,2918000.0,3533000000.0,1.98018368697291,3312000000.0,1980000000.0
IND,9.53623985631553,100.0,99.5,100.0,483.679010086809,1.88001213009684,16.4585228460668,5.64914318907925,55.9,9.19075493028345,2530.12031278204,81.6999969482422,95.0740565981493,74.7331217386926,0.723,139.3,80.6978943350927,89.640420179169,15.6,84.68669891,5.3,21.9,,,4.172,72.003,64.9323081575814,35.0676918424186,17914000.0,26915000.0,13413000000.0,2.76733222848624,13036000000.0,15777000000.0
IRL,1.75127681849579,100.0,100.0,0.274091678859734,77.1017273914937,2.79860140235064,23.913450303848,6.29942487419125,96.4974,-2.53637409313261,106818.917130804,,97.0814633122255,95.6265995419887,3.875,12.8,89.742009351926,,3.1,6877.9375,0.1,14.0,33.46,59.16,4.243,82.8609756097561,35.8847917538732,64.1152082461268,10951000.0,2326000.0,4160000000.0,0.681305611379734,1858000000.0,2334000000.0
ISL,43.9024861105778,100.0,100.0,10.2852157949761,3.82488346722206,11.3135349757772,,8.73630299937298,99.8301,5.18615760140189,82138.7892973557,,100.0,100.0,4.373,8.2,98.7786759933373,,2.0,7064.62402344,0.1,8.8,40.31,68.33,3.518,82.6073170731707,5.84817382151989,94.1518261784801,488000.0,130000.0,,,652000000.0,
ITA,37.7132462084371,100.0,100.0,94.7772139982593,199.459678073854,3.81654106895182,19.4146328909415,5.62219442195901,87.0278,0.975694840127005,39277.0838783918,99.3499984741211,99.9170340740928,96.7099330826952,4.191,15.0,99.8849719036501,,5.3,3283.47216797,0.9,20.1,27.13,57.51,7.627,83.7,30.4618459876699,69.5381540123301,38419000.0,21448000.0,20459000000.0,3.65370521874481,20036000000.0,12965000000.0
JAM,81.8496774460657,98.6,97.7,99.9999999999574,262.214773776547,9.15485047135585,,6.47413734662063,89.473,2.74634433906714,7542.40084275345,,87.895030779808,,0.46,35.9,91.1018987715533,70.3683405797426,15.1,520.15704346,1.4,8.2,7.6,18.94,3.022,71.479,41.5489850632571,58.4510149367429,1329699.95117188,,2060000000.0,48.0600523222195,1349000000.0,291000000.0
JOR,76.4367816091954,100.0,100.0,100.0,128.828670856139,0.053651096121461,19.513929848146,2.08486986327134,92.5344,2.88408339281683,4466.08314208575,94.8499984741211,99.2577307145329,87.1198241622629,2.851,38.7,96.5203168428374,,17.0,342.10394287,0.1,15.7,8.8,17.33,16.62,77.814,7.31776313166399,92.682236868336,1240000.0,406000.0,1745000000.0,16.7075719776145,1409000000.0,408000000.0
JPN,18.3724915457634,100.0,100.0,76.7615082281987,341.54455749932,12.4425842555292,65.2768139843146,3.26813365933163,86.9815,1.47503481053384,33836.1756271617,,99.1831679675454,98.7270242077337,2.649,11.8,99.9455793899546,,3.6,3638.19287109,1.2,,23.84,48.11,2.6,84.0412195121951,7.9173096108527,92.0826903891473,4115799.8046875,3174000.0,11395000000.0,1.43461261665333,10597000000.0,6741000000.0
KAZ,21.16022260949,100.0,100.0,87.4142305282549,7.53050487091158,0.0,16.1267300944452,14.7249900200331,92.8785,5.09999999973641,12879.4275257974,,97.8328139720823,91.534849470974,3.754,83.4,97.948876378574,99.0098274702943,12.7,489.71456909,0.0,5.2,8.62,15.09,4.835,74.402,38.2439080500819,61.7560919499181,2035000.0,2865000.0,589000000.0,1.19537232198366,459000000.0,861000000.0
KEN,39.509464216411,96.0,76.2,100.0,95.2681371231706,0.409713227470306,12.2256557459122,7.67139634029402,35.0,5.71999241214208,1942.58802756191,,64.7820788557808,,0.289,131.9,40.1703366344741,52.6671502721585,28.3,84.958992,46.9,39.8,1.98,4.34,5.409,63.646,68.3669659183571,31.6330340816429,2049000.0,,1762000000.0,15.3601464458292,1007000000.0,
KHM,73.627712490015,99.5,95.0,100.0,98.7076818490823,2.00470704447948,13.0923651907612,2.12746796594194,60.7171,5.00733043811898,2429.74853452838,71.9300003051758,81.8888688771299,29.4450820333788,0.211,163.3,80.3569034278216,85.0952232539447,19.6,114.56295776,,17.7,,,0.256,70.668,59.3709211927492,40.6290788072508,1306000.0,326000.0,1119000000.0,5.37394870532808,1023000000.0,213000000.0
KWT,15.3601894549301,100.0,100.0,100.0,272.358024691358,4.75710089918604,67.9471177025685,3.64216403030709,99.7473,-1.6672059801285,34075.849012909,96.4599990844727,100.0,100.0,2.273,45.2,100.0,,15.4,1679.12353516,,,,,2.08,83.1878048780488,0.0,100.0,2161000.0,,524000000.0,1.10510263094138,397000000.0,6696000000.0
