Classement,Pays,Indice de Qualité de Vie,Indice du Pouvoir d'Achat,Indice de Sécurité,Indice des soins de santé,Indice du Coût de la Vie,Rapport Prix de l'immobilier/Revenu,Indice du Temps de Trajet dans Trafic,Indice de pollution,Indice Climatique
,Malaisie,133.5,79.9,50.57,70.22,30.04,8.23,37.04,61.39,56.55
,Grèce,131.45,52.98,53.45,57.55,52.03,13.37,33.92,51.83,91.79
,Bosnie Herzégovine,130.37,56.94,58.58,55.62,35.05,13.47,26.27,59.84,78.18
,Turquie,128.8,48.99,58.98,71.09,37.43,11.26,43.81,64.33,93.23
,Mexique,126.61,45.44,46.29,72.44,40.22,10.67,39.36,58.24,88.52
,Bélarus,124.99,51.79,49.44,48.21,26.4,12.84,31.2,45.15,64.37
,Inde,123.84,82.62,55.69,65.37,21.19,11.14,46.55,72.84,65.65
,Équateur,122.26,41.59,37.62,68.36,32.56,12.2,37.68,58.83,98.97
,Jordan,120.74,45.49,59.46,65.03,41.16,7.38,39.38,77.54,89.05
,Panama,120.66,42.2,57.14,60.09,46.37,12.1,35.24,55.63,67.84
,Géorgie,120.64,35.28,73.9,55.37,33.39,12.9,40.26,68.55,88.53
,Serbie,120.21,50.17,62.41,52.08,37.73,17.06,30.71,65.18,83.23
,Chine,116.43,73.28,75.62,68.3,31.67,29.43,39.4,77.77,78.39
,Argentine,116.1,41.53,36.16,68.09,29.36,19.65,44.19,50.87,98.28
,Macédoine du Nord,115.3,50.96,58.99,55.37,33.02,13.31,24.97,79.61,76.3
,Brésil,113.5,37.16,34.89,59.0,30.22,16.3,40.69,52.55,96.89
,Azerbaïdjan,112.55,37.2,68.6,48.26,31.2,14.81,39.95,72.74,91.4
,Maroc,111.89,38.56,52.39,46.45,29.55,14.57,35.31,68.75,98.08
,Russie,111.24,50.56,61.15,61.1,31.0,16.02,43.31,59.31,48.95
,Ukraine,110.69,39.53,53.15,55.64,25.94,15.29,37.94,62.09,72.85
,Colombie,106.47,33.65,39.03,68.22,28.77,18.38,47.17,62.64,98.44
,Kenya,106.44,34.25,44.14,61.5,30.18,12.85,50.59,69.04,99.79
,Pakistan,104.49,29.11,56.58,59.08,18.82,13.29,38.21,73.16,71.93
,Albanie,103.45,39.88,54.63,48.95,42.09,14.13,36.74,77.25,86.43
,Chili,103.34,45.06,39.93,63.34,39.12,16.42,36.02,77.57,90.21
,Kazakhstan,102.05,44.75,54.4,60.09,31.71,10.56,35.62,73.22,39.78
,Indonésie,98.64,31.74,53.97,60.85,26.73,17.31,43.18,67.59,63.76
,Thaïlande,98.36,40.77,62.17,77.23,34.11,26.14,38.8,75.65,58.39
,Vietnam,97.21,40.52,58.22,61.37,28.72,22.62,29.59,84.19,71.24
,Philippines,90.79,33.34,56.99,67.14,31.04,25.78,41.99,72.63,61.23
,Liban,86.48,25.37,53.42,63.69,41.78,24.3,38.75,89.37,94.74
,Egypte,86.0,19.96,52.73,47.47,21.03,15.53,48.11,82.71,88.45
,Pérou,84.64,34.84,32.7,56.35,29.97,18.3,48.93,82.48,97.69
,Iran,80.41,25.96,49.65,52.53,26.43,23.45,46.43,75.26,70.99
,Sri Lanka,75.23,17.55,57.91,71.0,34.6,39.12,54.6,58.45,59.11
,Bangladesh,72.64,33.06,38.36,42.19,22.5,12.32,57.57,85.58,71.29
,Nigeria,42.74,11.01,33.35,48.17,31.41,23.86,64.17,88.17,60.75
