,month,temp_avg,temp_max,temp_min,region,short_description,latitude,longitude,Services voyage (% exports de services),Accès électricité (% pop),Densité de population (hab/km²),Pop. dans grandes agglomérations (%),Accès Internet (% pop),PIB par habitant (USD),Accès eau potable (% pop),Médecins (pour 1000 habitants),Dépenses santé par habitant (USD),Pauvreté < 3$/jour (% pop),Pauvreté seuil national (% pop),Revenu 40% les plus pauvres ($/jour),Revenu moyen par habitant ($/jour),Espérance de vie (années),Population rurale (% total),Population urbaine (% total),Arrivées touristes internationaux (nb),Départs touristes internationaux (nb),Recettes tourisme (USD),Recettes tourisme (% exportations),Recettes voyages touristiques (USD),Dépenses tourisme (USD),city,nature,patrimoine,culture,restaurant,nightlife,loisirs,country
220,8,25.8,28.8,23.6,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
242,9,26.2,29.8,24.0,africa,"Lively streets filled with vibrant markets, rhythmic music, and the aroma of spicy street food create a captivating and energetic atmosphere.",5.5571096,-0.2012376,11.9662073422835,89.5,148.49676310689,19.0254746120166,69.9445,2383.90410483418,88.8910495956232,0.266,70.25730896,39.0,23.4,1.81,5.07,65.498,42.1925262225346,57.8074737774654,897000.0,1070000.0,191000000.0,0.865150905271818,110000000.0,946000000.0,Accra,0.04,0.88,0.15,0.36,0.99,0.69,ghana
264,1,9.6,14.8,5.3,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
286,10,18.0,23.7,13.1,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
308,11,13.6,19.0,9.3,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
330,12,10.6,16.1,6.3,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
352,2,10.2,15.4,5.7,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
374,3,11.4,16.7,6.1,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
396,4,13.9,19.3,8.3,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
418,5,17.6,22.6,12.4,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
440,6,22.4,27.6,16.7,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
462,7,25.2,30.3,19.2,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
484,8,24.9,30.2,19.0,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
506,9,21.6,27.1,16.4,europe,"Nestled between mountains and sea, this charming coastal town offers sunlit streets, vibrant markets, and a rich tapestry of history and culture.",41.9263991,8.7376029,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Ajaccio,0.05,0.08,0.04,0.07,0.08,0.26,france
528,1,12.8,16.6,9.2,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
550,10,20.0,23.4,17.0,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
572,11,16.2,19.7,12.9,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
594,12,14.2,17.7,11.1,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
616,2,13.7,17.4,10.4,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
638,3,14.6,18.3,11.2,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
660,4,16.8,20.5,13.4,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
682,5,19.8,24.1,16.0,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
704,6,22.0,26.2,18.4,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
726,7,24.4,29.0,20.5,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
748,8,24.7,29.3,20.8,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
770,9,22.4,26.1,19.0,europe,"Golden cliffs and serene beaches meet charming villages, where the scent of grilled sardines and the sound of ocean waves fill the air.",37.24480855,-8.150756196275431,47.7343491046383,100.0,115.475189289738,40.887850776514,85.7901,27634.6183139773,99.2762210572337,5.851,2762.26293945,0.4,16.4,20.44,41.07,82.2804878048781,38.7951347366336,61.2048652633664,4208000.0,680000.0,10522000000.0,12.2444835483225,8835000000.0,3536000000.0,Algarve,0.0,0.0,0.0,0.0,0.0,0.0,portugal
792,1,3.0,6.7,-0.1,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
814,10,12.3,17.8,7.8,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
836,11,6.8,10.9,3.2,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
858,12,3.2,6.8,0.3,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
880,2,4.7,9.7,0.7,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
902,3,8.0,13.5,2.5,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
924,4,10.4,16.4,4.6,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
946,5,14.9,20.5,9.3,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
968,6,19.6,25.7,13.1,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
990,7,22.0,28.7,14.8,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
1012,8,21.4,28.2,14.6,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
1034,9,16.8,23.1,10.9,europe,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",45.8992348,6.1288847,19.0414647963516,100.0,126.862020595603,22.927852668258,86.8364,44700.1384177544,100.0,3.281,5149.0546875,0.1,15.6,34.41,66.8,82.9292682926829,21.2195676873453,78.7804323126547,117109000.0,21287000.0,35958000000.0,4.80404188740469,32646000000.0,31193000000.0,Annecy,0.22,0.19,0.19,0.17,0.14,0.98,france
1056,1,27.2,29.5,25.2,oceania,"Lush tropical gardens, vibrant markets, and the gentle sound of waves create a serene and welcoming atmosphere perfect for unwinding.",-13.8345235,-171.7630955,72.5984779440307,100.0,77.9363309352518,19.5003943309627,58.1386,4822.74084650019,98.9302348547362,0.561,292.81085205,4.5,21.9,4.635,10.84,71.698,82.4987200195398,17.5012799804602,23899.9996185303,18500.0,23059999.4659424,19.7907411795208,23000000.0,1799999.95231628,Apia,0.0,0.0,0.0,0.0,0.0,0.0,samoa
1078,10,26.9,29.4,24.8,oceania,"Lush tropical gardens, vibrant markets, and the gentle sound of waves create a serene and welcoming atmosphere perfect for unwinding.",-13.8345235,-171.7630955,72.5984779440307,100.0,77.9363309352518,19.5003943309627,58.1386,4822.74084650019,98.9302348547362,0.561,292.81085205,4.5,21.9,4.635,10.84,71.698,82.4987200195398,17.5012799804602,23899.9996185303,18500.0,23059999.4659424,19.7907411795208,23000000.0,1799999.95231628,Apia,0.0,0.0,0.0,0.0,0.0,0.0,samoa
1100,11,27.0,29.5,24.9,oceania,"Lush tropical gardens, vibrant markets, and the gentle sound of waves create a serene and welcoming atmosphere perfect for unwinding.",-13.8345235,-171.7630955,72.5984779440307,100.0,77.9363309352518,19.5003943309627,58.1386,4822.74084650019,98.9302348547362,0.561,292.81085205,4.5,21.9,4.635,10.84,71.698,82.4987200195398,17.5012799804602,23899.9996185303,18500.0,23059999.4659424,19.7907411795208,23000000.0,1799999.95231628,Apia,0.0,0.0,0.0,0.0,0.0,0.0,samoa
1122,12,27.2,29.9,24.9,oceania,"Lush tropical gardens, vibrant markets, and the gentle sound of waves create a serene and welcoming atmosphere perfect for unwinding.",-13.8345235,-171.7630955,72.5984779440307,100.0,77.9363309352518,19.5003943309627,58.1386,4822.74084650019,98.9302348547362,0.561,292.81085205,4.5,21.9,4.635,10.84,71.698,82.4987200195398,17.5012799804602,23899.9996185303,18500.0,23059999.4659424,19.7907411795208,23000000.0,1799999.95231628,Apia,0.0,0.0,0.0,0.0,0.0,0.0,samoa
